firstname,lastname,grad_school,grad_school_code,highest_degree,grad_year,university,university_code,title,department
Mary Lee,Batesko,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor,Education Department
Cathrine,Beaunae,"University of Florida, Gainesville",220,Ph.D.,,Georgian Court University,,Assistant Professor,School of Education
Scott H.,Bennett,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor of History,"History, Geography & Political Sci Dept"
Carolyn,Bergman,"Ph.D., University of Pennsylvania,",,Ph.D.,,Georgian Court University,,Associate Professor,Biology Department
Eduard,Bitto,"University of Illinois, Springfield",125,Ph.D.,,Georgian Court University,,"Associate Professor, Chair",Chemistry & Biochemistry Department
Jane,Bliss-Holtz,"Doctor of Nursing Science, University of Pennsylvania Graduate School of Nursing, Philadelphia, PA,",,Ph.D.,,Georgian Court University,,Associate Chair,School of Nursing
Brunella,Bowditch,"George Washington University, Foggy Bottom Campus",29,Ph.D.,,Georgian Court University,,Associate Professor,Biology
Theresa,Brown,Bowling Green State University,344,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Jessica,Burkholder,Kent State University,339,Ph.D.,,Georgian Court University,,Assistant Professor,Psychology and Counseling
Nancy,Burns-Sardone,New York University,72,Ph.D.,,Georgian Court University,,Assistant Professor,Education Department
Tom,Crawley,New York University,72,Ph.D.,,Georgian Court University,,Associate Professor,Education Department
Jo Ann,Cummings,Rutgers University,233,Ph.D.,,Georgian Court University,,Assistant Professor,Nursing
Kasturi,Dasgupta,"Louisiana State University, New Orleans/Medical",240,Ph.D.,,Georgian Court University,,Professor,"Sociology, Criminal Justice & Anthropology Dept."
Lynn,DeCapua,Fordham University,338,Ph.D.,,Georgian Court University,,"Professor, Dean of SOE",Education Department
Lisa,Dille,Columbia University,246,Ph.D.,,Georgian Court University,,Assistant Professor,Education Department
Gloria,Edwards,"University of Illinois, Springfield",125,Ph.D.,,Georgian Court University,,Associate Professor of Education,Teacher Education
Susan E. O.,Field,Harvard University,22,Ph.D.,,Georgian Court University,,Professor and Chair,Psychology and Counseling
Claire,Gallagher,University of Pittsburgh,143,Ph.D.,,Georgian Court University,,Professor,Education Department
Joseph F.,Gower,University of Notre Dame,116,Ph.D.,,Georgian Court University,,Chair and Professor,"Religious Studies, Theology and Philosphy"
Michael,Gross,University of Delaware,279,Ph.D.,,Georgian Court University,,Associate Provost/Professor,Academic Program Development
Linda,James,"Indiana University, Bloomington",284,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Jonathan,Kim-Reuter,"Ph.D., Philosophy, New School for Social Research,",,Ph.D.,,Georgian Court University,,Associate Professor,Department of Philosophy and Religious Studies
Sachiko,Komagata,Temple University,303,Ph.D.,,Georgian Court University,,Associate Professor Holistic Health & Exercise Science,Holistic Health
Jacqueline,Kress,"Doctor of Education, Rutgers, The State University,",,Ph.D.,,Georgian Court University,,Professor,School of Education
Robert,Louden,"CUNY, Graduate Center",94,Ph.D.,,Georgian Court University,,Professor,Sociology / Anthropology / Criminal Justice
Pamela,Lowry,"Ed.D. Rutgers the State University New Brunswick,",,Ph.D.,,Georgian Court University,,Assistant Professor,School of Education  - Special Education
Lindiwe,Magaya,"Southern Illinois University, Carbondale",131,Ph.D.,,Georgian Court University,,Associate Professor of Education,School of Education
Gina,Marcello,Rutgers University,233,Ph.D.,,Georgian Court University,,Assistant Professor,Communication
Russell,McDonald,"University of Michigan, Flint",112,Ph.D.,,Georgian Court University,,Assistant Professor,Department of English
Cynthia,Ninivaggi,Temple University,303,Ph.D.,,Georgian Court University,,Associate Professor,"Sociology,CrimJustic, & Anthropology Dep"
Susan Lauffer,O'Hara,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor,Department of English
Jean,Parry,Rutgers University,233,Ph.D.,,Georgian Court University,,Assistant Professor,Biology
Christopher,Perrin,"Ohio State University, Columbus",172,Ph.D.,,Georgian Court University,,Assistant Professor,Psychology and Counseling
Kathryn,Quinn-Sanchez,"University of North Carolina, Raleigh",105,Ph.D.,,Georgian Court University,,Associate Professor,World Languages
Pamela J.,Rader,"University of Colorado, Denver",163,Ph.D.,,Georgian Court University,,Associate Professor and Chair,Department of English
Stephanie A.,Rahill,"University of Maryland, Baltimore",192,Ph.D.,,Georgian Court University,,Assistant Professor,Psychology and Counseling
Jaime,Rivera Flores,"Florida State University, Tallahassee",226,Ph.D.,,Georgian Court University,,Assistant Professor of World Languages and Cultures,World Languages and Cultures
Melisa,Salsali,University of Miami,175,Ph.D.,,Georgian Court University,,Program Director and Assistant Professor,Exercise Science
Beth,Schaefer,Boston College,328,Ph.D.,,Georgian Court University,,Professor,Physics Department
Judith,Schubert,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Religious Studies/Theology Department
Hyuksoon,Song,New York University,72,Ph.D.,,Georgian Court University,,Assistant Professor of Education,Department of Teacher Education/School of Education
Joseph,Springer,Temple University,303,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Anne,Tabor-Morris,University of Notre Dame,116,Ph.D.,,Georgian Court University,,Associate Professor and Chair,Physics Department
Michael,Tirpak,"University of Missouri, St. Louis",158,Ph.D.,,Georgian Court University,,Director of School Counseling,Education Department
Benedict,Trigani,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Education Department
Christopher,Trigani,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Geraldine,Velasquez,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor of Art & Design,"Department of Communication, Graphic Design & Multimedia"
Johann,Vento,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Religious Studies/Theology Department
Janice,Warner,Rutgers University,233,Ph.D.,,Georgian Court University,,Dean and Professor,School of Business
Andrew,Weber,"Ph.D., Analytical Chemistry, Seton Hall University,",,Ph.D.,,Georgian Court University,,Assistant Professor,Chemistry & Biochemistry Department
David M.,Wilson,"University of Florida, Gainesville",220,Ph.D.,,Georgian Court University,,"Assistant Professor, Director of ABA Internships",Psychology and Counseling
Louise,Wootton,"University of Maryland, Baltimore",192,Ph.D.,,Georgian Court University,,Professor and Chair,Biology Department
Michael,Wortley,"University of Tennessee, Knoxville",65,Ph.D.,,Georgian Court University,,Assistant Professor,"Exercise Science, Wellness, and Sports"
Mark,Arvidson,Claremont Graduate School,,Ph.D.,,Azusa Pacific University,,Professor,Mathematics and Physics
Christopher,Bassey,University of Ilorin,,Ph.D.,,Azusa Pacific University,,Professor,Mathematics and Physics
Joseph,Bentz,Purdue University,185,Ph.D.,,Azusa Pacific University,,Professor,English
Nancy,Brashear,Claremont Graduate School,,Ph.D.,,Azusa Pacific University,,Professor,English
Kimberly,Denu,"University of Florida, Gainesville",220,Ph.D.,,Azusa Pacific University,,Professor,"Global Studies, Sociology, and TESOL"
Mark,Eaton,Boston University,327,Ph.D.,,Azusa Pacific University,,Professor,English
Brian,Eck,Biola University,,Ph.D.,,Azusa Pacific University,,Chair Emeritus and Professor,Psychology
Kathryn,Ecklund,Rosemead School of Psychology,,Ph.D.,,Azusa Pacific University,,Chair,Psychology
David,Esselstrom,University of Southern California,4,Ph.D.,,Azusa Pacific University,,Chair and Professor,English
Christopher,Flannery,Claremont Graduate School,,Ph.D.,,Azusa Pacific University,,Professor,History and Political Science
Diana,Glyer,"University of Illinois, Springfield",125,Ph.D.,,Azusa Pacific University,,Professor,English
Emily,Griesinger,Vanderbilt University,56,Ph.D.,,Azusa Pacific University,,Professor,English
Diane,Guido,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Vice Provost for Graduate Programs and Research; Research Integrity Officer; Professor,History and Political Science
Paul,Hertig,Fuller Theological Seminary,,Ph.D.,,Azusa Pacific University,,Professor,"Global Studies, Sociology, and TESOL"
Andrea,Ivanov-Craig,University of Southern California,4,Ph.D.,1994,Azusa Pacific University,,Professor,English
Scott,Kinnes,Duke University,20,Ph.D.,,Azusa Pacific University,,Professor,Biology and Chemistry
Carole,Lambert,University of California,,Ph.D.,,Azusa Pacific University,,Professor,English
Bryan,Lamkin,University of California,,Ph.D.,1997,Azusa Pacific University,,Professor,History and Political Science
Edmund,Mazza,City University of New York,,Ph.D.,2004,Azusa Pacific University,,Professor,History and Political Science
Jon,Milhon,University of Southern California,4,Ph.D.,,Azusa Pacific University,,Professor,Biology and Chemistry
